restaurant name,city,feature,review,sentiment
the oystermen seafood bar & kitchen,London,restaurant,"Altogether , with two bottles of water , two glasses of wine and five beers between us , the three courses we all enjoyed came to a total of £218.The service was good too - brisk , efficient and friendly.So why four stars rather than five ? Well , for me , the restaurant was just a little too cramped and ( especially given the size of the place ) the music was a little too loud",1
the oystermen seafood bar & kitchen,London,restaurant,Came here for food before the theatre and it was incredible ! The restaurant let ’ s you book pre theatre bookings so know if you need a quick turnaround which is great ! The staff are super friendly and helpful and advise you on all the foods ! We had the crab to share and what can I say like other reviews it was incredible so delicious there are not enough words to describe how good it was ! Will definitely be back ! !,1
the oystermen seafood bar & kitchen,London,restaurant,Warmly welcomed and taken to our table in a quieter part of this busy and vibrant restaurant,1
the oystermen seafood bar & kitchen,London,restaurant,"( but the tables area bit on the small side . ) 2 ) The service was friendly and personal , very unlike many London restaurants.3 ) My smoked mackerel on toast with pickled Shimenji ( £9.50 ) sounds ordinary but the reality just blew me away - creamy , sublime and oh so gorgeous.4 ) My main course was braised Cuttlefish Orzo ( £21 ) which tested like I had just died and gone to heaven",1
the oystermen seafood bar & kitchen,London,food,"All are very nice , especially the crab ! Excellent service and environment with first class of food .",1
the oystermen seafood bar & kitchen,London,food,Dropped in for Lunch and the service was great as was the food,1
the oystermen seafood bar & kitchen,London,food,Came here for food before the theatre and it was incredible ! The restaurant let ’ s you book pre theatre bookings so know if you need a quick turnaround which is great ! The staff are super friendly and helpful and advise you on all the foods ! We had the crab to share and what can I say like other reviews it was incredible so delicious there are not enough words to describe how good it was ! Will definitely be back ! !,1
the oystermen seafood bar & kitchen,London,food,I have eaten great seafood all over the world,1
the oystermen seafood bar & kitchen,London,food,"And while its not cheap , the prices are pretty good for food of this quality.1 ) Its small and quite tightly packed meaning it has a great atmosphere",1
the oystermen seafood bar & kitchen,London,food,We had lovely food and excellent service.As Oyster fans everyone was happy,1
the oystermen seafood bar & kitchen,London,food,"Covent Garden has historically been , ahem , uneven in terms of great food",1
the oystermen seafood bar & kitchen,London,price,"And while its not cheap , the prices are pretty good for food of this quality.1 ) Its small and quite tightly packed meaning it has a great atmosphere",1
the oystermen seafood bar & kitchen,London,price,They gave some good options all at excellent prices,1
the oystermen seafood bar & kitchen,London,price,"If you enjoy fish and crab you must go.It ’ s a lively and relaxed environment , priced really well.All of us would recommend a visit .",1
the oystermen seafood bar & kitchen,London,crab,"All are very nice , especially the crab ! Excellent service and environment with first class of food .",1
the oystermen seafood bar & kitchen,London,crab,"I tried the crab , and It was very well prepared , but could have some more spice",-1
the oystermen seafood bar & kitchen,London,crab,Came here for food before the theatre and it was incredible ! The restaurant let ’ s you book pre theatre bookings so know if you need a quick turnaround which is great ! The staff are super friendly and helpful and advise you on all the foods ! We had the crab to share and what can I say like other reviews it was incredible so delicious there are not enough words to describe how good it was ! Will definitely be back ! !,1
the oystermen seafood bar & kitchen,London,crab,"It just melted in my mouth.And my wife is Dorset crab was massive , mega fresh and uber tasty.This place can not be beaten",1
the oystermen seafood bar & kitchen,London,crab,"If you enjoy fish and crab you must go.It ’ s a lively and relaxed environment , priced really well.All of us would recommend a visit .",1
the oystermen seafood bar & kitchen,London,quality,"And while its not cheap , the prices are pretty good for food of this quality.1 ) Its small and quite tightly packed meaning it has a great atmosphere",1
charlie's cafe & bakery,London,coffee,"friendly staff , good coffee and great food , but the place is a bit small so you might have to wait a bit to be seated",1
charlie's cafe & bakery,London,coffee,I Was in London on a work trip and stopped in for a quick breakfast and a coffee In This cafe and I ’ m glad I did,1
charlie's cafe & bakery,London,coffee,I have been to Charlie ’ s a few months ago and I was really impressed with the quality of the coffee and the amazing food,1
charlie's cafe & bakery,London,service,Great service and lovely food,1
charlie's cafe & bakery,London,food,"friendly staff , good coffee and great food , but the place is a bit small so you might have to wait a bit to be seated",1
charlie's cafe & bakery,London,food,"The food is well-prepared , fresh ingredients , and they do not frown at me when I say I do not want any milk or sugar for my tea",1
charlie's cafe & bakery,London,food,The quality of the food was amazing,1
charlie's cafe & bakery,London,food,"The staff are all really kind and helpful , the ambience is fantastic and the food is amazing ! You have to visit this place !",1
charlie's cafe & bakery,London,food,"When you walk in it is instantly brighter and feels welcoming , the new brunch/lunch menu is incredible and there is a new full vegan menu too which has lots more great options ! This really is a great cafe , ideally for meeting friends , business meetings or simply grabbing a takeaway , hot food is served till 4pm , there is still great sandwiches & cakes etc after this",1
charlie's cafe & bakery,London,food,I have been to Charlie ’ s a few months ago and I was really impressed with the quality of the coffee and the amazing food,1
charlie's cafe & bakery,London,food,Great service and lovely food,1
charlie's cafe & bakery,London,menu,"I ’ m so glad to have this sweet little store at my doorstep and can ’ t wait to try their Vegan breakfast , the eggs benedict and well , let ’ s just say the entire menu and all the cakes as well !",1
charlie's cafe & bakery,London,menu,"When you walk in it is instantly brighter and feels welcoming , the new brunch/lunch menu is incredible and there is a new full vegan menu too which has lots more great options ! This really is a great cafe , ideally for meeting friends , business meetings or simply grabbing a takeaway , hot food is served till 4pm , there is still great sandwiches & cakes etc after this",1
charlie's cafe & bakery,London,menu,"This morning when we needed a good breakfast/brunch as we all had some degree of hangover I reluctantly suggested to go to Wood Green to Charlie ’ s - my posh friends looked at me a very strange way but after a short debate I convinced them.It was busy again packed with people but while we were looking at the menu , they reorganized couple of tables and accommodate us with a big smile",1
charlie's cafe & bakery,London,menu,"I think they would be a great hit if they were to open branches in more affluent areas of London.Again big thumbs up for Charlie ’ s , for keeping the quality at highest level , improving the menu and even little details such as menu holders ( last time I was there the menu holders were not there and it was annoying ) ..I hope they would expand and open a brunch in central London..",1
charlie's cafe & bakery,London,place,"friendly staff , good coffee and great food , but the place is a bit small so you might have to wait a bit to be seated",1
charlie's cafe & bakery,London,place,"The staff are all really kind and helpful , the ambience is fantastic and the food is amazing ! You have to visit this place !",1
charlie's cafe & bakery,London,ambience,"The staff are all really kind and helpful , the ambience is fantastic and the food is amazing ! You have to visit this place !",1
charlie's cafe & bakery,London,breakfast,"My hotel had a grab and go style breakfast which is okay , but for something more substantial to hold you through the morning , you can not beat the offerings at Charlie is",-1
charlie's cafe & bakery,London,breakfast,I Was in London on a work trip and stopped in for a quick breakfast and a coffee In This cafe and I ’ m glad I did,1
charlie's cafe & bakery,London,breakfast,"I ’ m so glad to have this sweet little store at my doorstep and can ’ t wait to try their Vegan breakfast , the eggs benedict and well , let ’ s just say the entire menu and all the cakes as well !",1
charlie's cafe & bakery,London,breakfast,"This morning when we needed a good breakfast/brunch as we all had some degree of hangover I reluctantly suggested to go to Wood Green to Charlie ’ s - my posh friends looked at me a very strange way but after a short debate I convinced them.It was busy again packed with people but while we were looking at the menu , they reorganized couple of tables and accommodate us with a big smile",1
charlie's cafe & bakery,London,breakfast,I can easily say the omelette was just right but it with smoked salmon & cream cheese next to it made me feel like at home as this is my typical hangover cure breakfast ( I know it ’ s strange ) .My friends were impressed with their vegan and no vegan sandwiches,-1
charlie's cafe & bakery,London,cafe,I Was in London on a work trip and stopped in for a quick breakfast and a coffee In This cafe and I ’ m glad I did,1
charlie's cafe & bakery,London,cafe,Great little cafe !,1
charlie's cafe & bakery,London,cafe,"When you walk in it is instantly brighter and feels welcoming , the new brunch/lunch menu is incredible and there is a new full vegan menu too which has lots more great options ! This really is a great cafe , ideally for meeting friends , business meetings or simply grabbing a takeaway , hot food is served till 4pm , there is still great sandwiches & cakes etc after this",1
charlie's cafe & bakery,London,quality,The quality of the food was amazing,1
charlie's cafe & bakery,London,quality,I have been to Charlie ’ s a few months ago and I was really impressed with the quality of the coffee and the amazing food,1
charlie's cafe & bakery,London,quality,"I think they would be a great hit if they were to open branches in more affluent areas of London.Again big thumbs up for Charlie ’ s , for keeping the quality at highest level , improving the menu and even little details such as menu holders ( last time I was there the menu holders were not there and it was annoying ) ..I hope they would expand and open a brunch in central London..",1
humble grape - battersea,London,atmosphere,"None of us are vegetarian , but that dish was hands down the winner over the ( delicious ) meat mains.Wine list was good , atmosphere great , and lovely personable service",1
humble grape - battersea,London,service,Good food with great service,1
humble grape - battersea,London,service,"Lovely restaurant , tons of wine options , best service , hottest staff - her name is Pippa : ) Try their wine tasting , it ’ s nice ! ! ! ! !",1
humble grape - battersea,London,service,"None of us are vegetarian , but that dish was hands down the winner over the ( delicious ) meat mains.Wine list was good , atmosphere great , and lovely personable service",1
humble grape - battersea,London,service,"I am not a fan of too formal service.It was more expensive than what I usually go for , but very much worth it .",-1
humble grape - battersea,London,service,"Really lovely food , nice service , great wine knowledge",1
humble grape - battersea,London,food,"Great venue , friendly and knowledgeable staff , good food , excellent wine",1
humble grape - battersea,London,food,"Visited early on a Friday evening for a glass of wine and some tapas bites.What a find , great welcome and wonderful comprehensive explanation of how the place works from Rosie , so knowledgeable and ful of enthusiasm.The bottle of Cremont was great , the bottle of Champagne was even better.The muscadet was also excellent.The food was very tasty especially the Ceviche which was first class and possibly the best I have tasted anywhere.Would recommend this place to anyone , we shall be back as soon as we can.Thankyou .",1
humble grape - battersea,London,food,"One friend is quite a picky eater and likes simple , straightforward foods , so I chose here for that reason.We were shown t our table by friendly , efficient staff",1
humble grape - battersea,London,food,This was an excellent choice as the picky eater cleared the plate completely ! The food was excellent and really tasty,1
humble grape - battersea,London,food,"I wished I had not had a first course as I could not quite finish the main ! Nice place , great staff and excellent food",1
humble grape - battersea,London,food,Good food with great service,1
humble grape - battersea,London,food,"We lucked out , the food was great",1
humble grape - battersea,London,food,"Really lovely food , nice service , great wine knowledge",1
humble grape - battersea,London,value,I have always trusted the folks at Grape to curate my wines for delivery and this amazing wine bar is an extension of their tremendous brand built on their dedication to serving wines of high quality and great value,1
humble grape - battersea,London,place,"Visited early on a Friday evening for a glass of wine and some tapas bites.What a find , great welcome and wonderful comprehensive explanation of how the place works from Rosie , so knowledgeable and ful of enthusiasm.The bottle of Cremont was great , the bottle of Champagne was even better.The muscadet was also excellent.The food was very tasty especially the Ceviche which was first class and possibly the best I have tasted anywhere.Would recommend this place to anyone , we shall be back as soon as we can.Thankyou .",1
humble grape - battersea,London,place,"I wished I had not had a first course as I could not quite finish the main ! Nice place , great staff and excellent food",1
humble grape - battersea,London,place,Nice place,1
humble grape - battersea,London,place,We stayed for a few bites to eat including some amazing cheese ! Great place and so close to home ! Will be back for sure .,1
humble grape - battersea,London,staff,"Great venue , friendly and knowledgeable staff , good food , excellent wine",1
humble grape - battersea,London,staff,"One friend is quite a picky eater and likes simple , straightforward foods , so I chose here for that reason.We were shown t our table by friendly , efficient staff",1
humble grape - battersea,London,staff,"We spoke to staff and they advised phoning for a table instead of online . ) The first courses were very interesting and varied , and we all chose Sunday lunches for a main course",1
humble grape - battersea,London,staff,"I wished I had not had a first course as I could not quite finish the main ! Nice place , great staff and excellent food",1
humble grape - battersea,London,staff,"Lovely restaurant , tons of wine options , best service , hottest staff - her name is Pippa : ) Try their wine tasting , it ’ s nice ! ! ! ! !",1
humble grape - battersea,London,quality,I have always trusted the folks at Grape to curate my wines for delivery and this amazing wine bar is an extension of their tremendous brand built on their dedication to serving wines of high quality and great value,1
humble grape - battersea,London,wine,I have always trusted the folks at Grape to curate my wines for delivery and this amazing wine bar is an extension of their tremendous brand built on their dedication to serving wines of high quality and great value,1
humble grape - battersea,London,wine,"Great venue , friendly and knowledgeable staff , good food , excellent wine",1
humble grape - battersea,London,wine,"Visited early on a Friday evening for a glass of wine and some tapas bites.What a find , great welcome and wonderful comprehensive explanation of how the place works from Rosie , so knowledgeable and ful of enthusiasm.The bottle of Cremont was great , the bottle of Champagne was even better.The muscadet was also excellent.The food was very tasty especially the Ceviche which was first class and possibly the best I have tasted anywhere.Would recommend this place to anyone , we shall be back as soon as we can.Thankyou .",1
humble grape - battersea,London,wine,Great selection of wines,1
humble grape - battersea,London,wine,"Lovely restaurant , tons of wine options , best service , hottest staff - her name is Pippa : ) Try their wine tasting , it ’ s nice ! ! ! ! !",1
humble grape - battersea,London,wine,A few hiccups with a forgotten glass of wine and some waiting for our table to be ready was not a big deal,-1
humble grape - battersea,London,wine,"Really lovely food , nice service , great wine knowledge",1
humble grape - battersea,London,wine,Every single one of the tapas we chose was completely delicious and the wine suggested with our meal was perfect,1
the clink restaurant,London,service,The food was terrific as was the service,1
the clink restaurant,London,service,"The food was first rate , with thought being paid to vegetarian options , and the service was effective , albeit not delicate",-1
the clink restaurant,London,service,"Went to the clink yesterday with my partner , we had a 3 course meal and the food was wonderful from preparation to presentation , the experience itself was worth the money .Vince was our waiter and we received a great service from him .he was kind and friendly",1
the clink restaurant,London,service,"The food was delicious and we left very full , with thanks to Sonny in particular for being very polite , friendly and providing great service",1
the clink restaurant,London,service,The food and service at The Clink Brixton was excellent for my first Xmas dinner of 2018,1
the clink restaurant,London,food,"In particular we would like to mention Kol and Keiran who were both brilliant at their job and made the experience brilliant.We will certainly be back again to try more food.Thank you very much , this is fantastic scheme .",1
the clink restaurant,London,food,The food was terrific as was the service,1
the clink restaurant,London,food,They run four restaurants in the UK and at Brixton they have a fantastic set up in the Rotunda where wonderful food is served in a very professional way,1
the clink restaurant,London,food,The food was excellently prepared and tasted fantastic,1
the clink restaurant,London,food,"The food was first rate , with thought being paid to vegetarian options , and the service was effective , albeit not delicate",-1
the clink restaurant,London,food,Excellent food ! Highly recommend this place,1
the clink restaurant,London,food,The food was lovely and each course had great depth of flavour,1
the clink restaurant,London,food,"Went to the clink yesterday with my partner , we had a 3 course meal and the food was wonderful from preparation to presentation , the experience itself was worth the money .Vince was our waiter and we received a great service from him .he was kind and friendly",1
the clink restaurant,London,food,"The food was delicious and we left very full , with thanks to Sonny in particular for being very polite , friendly and providing great service",1
the clink restaurant,London,food,The food and service at The Clink Brixton was excellent for my first Xmas dinner of 2018,1
the clink restaurant,London,experience,"In particular we would like to mention Kol and Keiran who were both brilliant at their job and made the experience brilliant.We will certainly be back again to try more food.Thank you very much , this is fantastic scheme .",1
the clink restaurant,London,experience,"This was a truly inspiring experience , all the more so when you appreciate the work that the residents ( both front of house and in the kitchen ) put in to provide an exceptional meal .",1
the clink restaurant,London,experience,"The experience was great - putting mobiles , wallets etc in a locker , then being escorted through the big gates , searched , then led into the restaurant",1
the clink restaurant,London,experience,"Went to the clink yesterday with my partner , we had a 3 course meal and the food was wonderful from preparation to presentation , the experience itself was worth the money .Vince was our waiter and we received a great service from him .he was kind and friendly",1
amrutha lounge,London,service,Even though the service was a little shabby everything else was unbelievable ! The food was outstanding we will definitely return ! ! !,1
amrutha lounge,London,service,Every dish was great and we were regularly offered more of anything we particularly liked.I can not fault the service we received from Arvin and his team all night and despite being incredibly busy they found time to bring out my daughters dessert and get the restaurant to join in singing her happy birthday,1
amrutha lounge,London,service,"Shared a couple of puds too.Really good service , would recommend .",1
amrutha lounge,London,restaurant,"The menu system is easy and concise , with only a few options to try , perfect for indecisive restaurant goers like me",1
amrutha lounge,London,restaurant,Very welcoming vegan restaurant with very good food - loved the set buffet,1
amrutha lounge,London,restaurant,"What makes this place even more special is the owner and waiter Arvin , and his/ the restaurant is incredible attitude",1
amrutha lounge,London,restaurant,"Arvin treats you like a friend , offering top ups of food , more dishes and complimentary ( delicious ! ) herbal tea and is obviously just such a wonderful person that it is a pleasure to be in his restaurant",1
amrutha lounge,London,restaurant,Every dish was great and we were regularly offered more of anything we particularly liked.I can not fault the service we received from Arvin and his team all night and despite being incredibly busy they found time to bring out my daughters dessert and get the restaurant to join in singing her happy birthday,1
amrutha lounge,London,restaurant,I am not sure this is the very very best restaurant in London but I would not begrudge its ' rating especially after reading the previous review.Quite how a vegan restaurant gives someone a dodgy chicken dinner I am not sure ... We had the buffet and were quickly inundated with great food,-1
amrutha lounge,London,food,Very welcoming vegan restaurant with very good food - loved the set buffet,1
amrutha lounge,London,food,The ethos of food and charity is inspirational,1
amrutha lounge,London,food,Even though the service was a little shabby everything else was unbelievable ! The food was outstanding we will definitely return ! ! !,1
amrutha lounge,London,food,"The food is just delicious , perfectly flavoured and so wholesome too",1
amrutha lounge,London,food,"Arvin treats you like a friend , offering top ups of food , more dishes and complimentary ( delicious ! ) herbal tea and is obviously just such a wonderful person that it is a pleasure to be in his restaurant",1
amrutha lounge,London,food,"A beautiful creation of plant based food ; wholesomeness , colourfulness and deliciousness combined with attentive and loving staff who really care about what they ’ re serving to you",1
amrutha lounge,London,food,Opened my eyes to vegan food for sure and more than worth every penny for the quality.Many thanks to you all for a genuinely lovely evening .,1
amrutha lounge,London,food,I am not sure this is the very very best restaurant in London but I would not begrudge its ' rating especially after reading the previous review.Quite how a vegan restaurant gives someone a dodgy chicken dinner I am not sure ... We had the buffet and were quickly inundated with great food,-1
amrutha lounge,London,price,"Forgot 3-hour cues at Dishoom and overprices curry , this place is the real deal and will put a smile on your face for sure ! ENJOY",1
amrutha lounge,London,vibe,Service was a level above and the vibe was perfect,1
amrutha lounge,London,place,"We did not have to wait much for the dessert , it was pretty cool too , the brownie , let alone , it had just chocolate and no raspberries..Now this is one place that I recommend to my friends and anyone planning to eat out",1
amrutha lounge,London,place,"Forgot 3-hour cues at Dishoom and overprices curry , this place is the real deal and will put a smile on your face for sure ! ENJOY",1
amrutha lounge,London,place,"What makes this place even more special is the owner and waiter Arvin , and his/ the restaurant is incredible attitude",1
amrutha lounge,London,place,And thank you for giving me a very very happy belly.I would recommend this place to anyone who is hungry in London and surrounding areas vegan/non vegan .,1
amrutha lounge,London,quality,Opened my eyes to vegan food for sure and more than worth every penny for the quality.Many thanks to you all for a genuinely lovely evening .,1
oliveira organic vegetarian kitchen,London,service,"What a lovely surprise : excellent food - from starter to dessert , absolutely not mainstream , organic , very courteous und personal service , almost every meal comes as vegan option , good wine list , very reasonable prices.If you are interested , the chef will show and explain the ( raw ) ingredients ( never saw a fresh breadfruit before ) We will come back very , very soon",1
oliveira organic vegetarian kitchen,London,food,"The food is utterly delicious ! ! ! Vegetarian or not , vegan or not , it ’ s wonderful for everyone",1
oliveira organic vegetarian kitchen,London,food,"The staff were so helpful and welcoming , and our food was very tasty",1
oliveira organic vegetarian kitchen,London,food,"What a lovely surprise : excellent food - from starter to dessert , absolutely not mainstream , organic , very courteous und personal service , almost every meal comes as vegan option , good wine list , very reasonable prices.If you are interested , the chef will show and explain the ( raw ) ingredients ( never saw a fresh breadfruit before ) We will come back very , very soon",1
oliveira organic vegetarian kitchen,London,food,The owner clearly knows his food and was happy to talk to us about some of the more unusual ingredients,1
oliveira organic vegetarian kitchen,London,menu,"My mother and I went for dinner last night , I am a vegan with a gluten intolerance and the waitress & chef were happy to adapt any of the dishes on the menu to suit my needs",1
oliveira organic vegetarian kitchen,London,menu,The menu is so interesting and innovative that it is almost impossible to choose what you want .,1
oliveira organic vegetarian kitchen,London,menu,"A highly varied and interesting menu , with vegetables I did not know existed ! Highly recommended",1
oliveira organic vegetarian kitchen,London,menu,Interesting menu with lots of variety,1
oliveira organic vegetarian kitchen,London,price,We both had two dishes and shared a bottle of wine and we were shocked at how reasonable the price was when we were given the bill ! ! The chef has 16 years experience working in fine dining restaurants in London and it really shows,1
oliveira organic vegetarian kitchen,London,price,"Good value too -- he offers on the mains smaller plates at a lesser price , or larger plates",1
oliveira organic vegetarian kitchen,London,price,"What a lovely surprise : excellent food - from starter to dessert , absolutely not mainstream , organic , very courteous und personal service , almost every meal comes as vegan option , good wine list , very reasonable prices.If you are interested , the chef will show and explain the ( raw ) ingredients ( never saw a fresh breadfruit before ) We will come back very , very soon",1
oliveira organic vegetarian kitchen,London,value,"Good value too -- he offers on the mains smaller plates at a lesser price , or larger plates",1
oliveira organic vegetarian kitchen,London,value,And such good value,1
oliveira organic vegetarian kitchen,London,chef,"My mother and I went for dinner last night , I am a vegan with a gluten intolerance and the waitress & chef were happy to adapt any of the dishes on the menu to suit my needs",1
oliveira organic vegetarian kitchen,London,chef,We both had two dishes and shared a bottle of wine and we were shocked at how reasonable the price was when we were given the bill ! ! The chef has 16 years experience working in fine dining restaurants in London and it really shows,1
oliveira organic vegetarian kitchen,London,chef,Great great chef .,1
oliveira organic vegetarian kitchen,London,chef,"What a lovely surprise : excellent food - from starter to dessert , absolutely not mainstream , organic , very courteous und personal service , almost every meal comes as vegan option , good wine list , very reasonable prices.If you are interested , the chef will show and explain the ( raw ) ingredients ( never saw a fresh breadfruit before ) We will come back very , very soon",1
oliveira organic vegetarian kitchen,London,quality,£20 for a good quality Savignoun,1
limin',London,atmosphere,Cosy and friendly atmosphere with a nice selection of soca music playing to give that truly authentic Caribbean feeling,1
limin',London,atmosphere,"Popped by based on TripAdvisor reviews and what a treat ! The bottle of rum punch ( £25 ) was amazing as was the service , music and atmosphere",1
limin',London,service,"Popped by based on TripAdvisor reviews and what a treat ! The bottle of rum punch ( £25 ) was amazing as was the service , music and atmosphere",1
limin',London,food,"It has been a while since I have been wowed by a restaurant in London but yesterday was that day ! What an amazing experience , food , drinks and of course the fantastic owner Sham",1
limin',London,food,"Wonderful , fresh and tasty food from an equally lovely owner",1
limin',London,food,I will be heading back by Friday.This cute Trini pop up restaurant serves amazing food & drink,1
limin',London,food,"Lovely little place to hang out with friends whilst enjoying food from home.The owner , Sham & staff needs to be commended – super friendly and easy going ..",1
limin',London,food,"The food was delicious - goat curry and roti , accai and wings all stand out",1
limin',London,vibe,The vibe reminded me of good old days hanging at Pelican,1
ardiciocca,London,service,"Excellent service too , good recommendations for food and wine .",1
ardiciocca,London,service,The service was very good,1
ardiciocca,London,restaurant,Nice restaurant,1
ardiciocca,London,restaurant,"wanted to steer clear of the crowds , walked past the main strip and contemplated Waitrose and home to cook ! But as we stood outside Waitrose- opposite was a quaint understated restaurant glowing under scaffolding ... we crossed and went in.So glad we did.Fantastic ambience in there created by the buzz of passionate staff wishing to give the memorable Italian dining experience",1
ardiciocca,London,restaurant,"We simple stopped going out.And even when we travel become difficult to even eat out door and usually travel with us gluten free row product m , ready tomatoes sauce and have with us one induction hob for cooking in the hotel , just for her and take that food with us when eating in the hotel restaurants.It however become joyful of life when we discovered a 100 % gluten free restaurant in our door step",1
ardiciocca,London,restaurant,"Ardiciocca - Trattoria Pizzeria Gluten Free.Since then , been going this place weekly bases and sometimes doing take away.What is so specially , in this place is the authenticity of the food , the freshness , the test and nevertheless the amazing and wonderful staff members , that is no like in any other places , a friendly and warm and good hearted people , who sincerely welcome you in a way that is unique.The pizza and the pasta , the deserts are so delicious that you have never tested like it , and will never experience any other restaurants that offers Gluten Free food.If you find any other restaurants that has the same test m , quality and freshness , I owe you a lunch or a dinner and will pay it.Amazing family friendly place and must go place.Amazing , that it is heart in Fulham , and got to say what a lucky our little one is to be able to not get scary and asks as anything she tries it before eating it “ is this gluten free ”",1
ardiciocca,London,food,Fantastic authentic Italian food ! One of us in the group is from Genova and he completely agreed,1
ardiciocca,London,food,"Excellent service too , good recommendations for food and wine .",1
ardiciocca,London,food,the smell is as good as the food,1
